ds,y
01/03/2021,458
02/03/2021,318
03/03/2021,356
04/03/2021,384
05/03/2021,350
06/03/2021,190
07/03/2021,545
08/03/2021,344
09/03/2021,304
10/03/2021,342
11/03/2021,304
12/03/2021,297
13/03/2021,314
14/03/2021,307
15/03/2021,331
16/03/2021,154
17/03/2021,470
18/03/2021,162
19/03/2021,473
20/03/2021,158
21/03/2021,545
22/03/2021,314
23/03/2021,251
24/03/2021,253
25/03/2021,271
26/03/2021,272
27/03/2021,278
28/03/2021,249
29/03/2021,215
30/03/2021,139
31/03/2021,264
01/04/2021,211
02/04/2021,211
03/04/2021,167
04/04/2021,141
05/04/2021,159
06/04/2021,95
07/04/2021,220
08/04/2021,343
09/04/2021,311
10/04/2021,284
11/04/2021,283
12/04/2021,263
13/04/2021,226
14/04/2021,99
15/04/2021,230
16/04/2021,237
17/04/2021,168
18/04/2021,442
19/04/2021,309
20/04/2021,367
21/04/2021,578
22/04/2021,672
23/04/2021,796
24/04/2021,1068
25/04/2021,793
26/04/2021,997
27/04/2021,1111
28/04/2021,1466
29/04/2021,1531
30/04/2021,1662
